Material,Source_Country,Mining_Production_Pct,Refining_Capacity_Pct,US_Imports_From_Pct,2024_Supply,2030_Projected_Supply,Risk_Level
Lithium,Australia,47,5,12,High,High,Medium
Lithium,Chile,26,3,28,High,High,Low
Lithium,China,14,60,35,Critical,Medium,High
Lithium,Argentina,6,1,8,Medium,Medium,Low
Lithium,United States,1,8,0,Low,Medium,Low
Lithium,Canada,0.5,2,5,Low,Low,Low
Lithium,Recycled,0,0,0,Negligible,12pct_of_demand,Low
Cobalt,DRC,70,5,8,Critical,High,Critical
Cobalt,China,2,65,52,Critical,Medium,High
Cobalt,Indonesia,5,8,3,Low,Low,Medium
Cobalt,Canada,3,5,15,Low,Medium,Low
Cobalt,Australia,4,3,8,Low,Medium,Low
Cobalt,Philippines,3,2,2,Low,Low,Medium
Cobalt,Recycled,0,0,0,Negligible,50pct_of_demand,Low
Nickel,Indonesia,48,12,8,High,Medium,Medium
Nickel,Philippines,12,3,5,Medium,Low,Medium
Nickel,Russia,9,18,0,Sanctioned,Sanctioned,Critical
Nickel,New_Caledonia,7,8,3,Medium,Low,Medium
Nickel,Australia,6,10,12,Low,Medium,Low
Nickel,Canada,5,15,35,Medium,High,Low
Nickel,China,3,25,22,High,Medium,High
Nickel,United_States,0.3,1,0,Negligible,Low,Low
Nickel,Recycled,0,0,0,Negligible,30pct_of_demand,Low
Graphite,China,65,95,78,Critical,Critical,Catastrophic
Graphite,Mozambique,15,0,3,Medium,Medium,Medium
Graphite,Madagascar,8,0,2,Low,Low,Medium
Graphite,Brazil,4,1,5,Low,Low,Low
Graphite,Canada,2,0,8,Low,Medium,Low
Graphite,United_States,0.1,2,0,Negligible,Low,Low
Graphite,Recycled,0,0,0,Negligible,3pct_of_demand,Low

US_Domestic_Projects,Material,Location,Developer,Annual_Capacity,Status,Online_Date,Investment_USD_Millions,Employment_Projected
Thacker_Pass,Lithium,Nevada,Lithium_Americas,40000_tonnes_LCE,Construction_Starting,2027,2500,1000
Silver_Peak,Lithium,Nevada,Albemarle,5000_tonnes_LCE,Operating,Current,150,80
Rhyolite_Ridge,Lithium,Nevada,ioneer,26000_tonnes_LCE,Permitting,2028,800,350
Salton_Sea,Lithium,California,Controlled_Thermal_Resources,20000_tonnes_LCE,Pilot,2026,500,200
Kings_Mountain,Lithium,North_Carolina,Albemarle,30000_tonnes_LCE,Development,2027,1300,450
Piedmont_Carolina,Lithium,North_Carolina,Piedmont_Lithium,22500_tonnes_LCE,Delayed,2029,850,300
Tamarack,Nickel_Cobalt,Minnesota,Talon_Metals,60000_tonnes_Ni_yr,Permitting,2028,1200,600
Eagle_Mine,Nickel,Michigan,Lundin_Mining,18000_tonnes_Ni_yr,Operating,Current,500,300
Graphite_One,Graphite,Alaska,Graphite_One,41850_tonnes_SPG_yr,Feasibility,2029,1100,350
Westwater_Coosa,Graphite,Alabama,Westwater_Resources,7500_tonnes_SPG_yr,Permitting,2026,150,100
Syrah_Vidalia,Graphite,Louisiana,Syrah_Resources,11250_tonnes_SPG_yr,Operating,2023,250,120

Recycling_Facilities,Company,Location,Technology,Current_Capacity_Tonnes_yr,2030_Target_Capacity,Primary_Materials_Recovered,Status
Redwood_Materials,Redwood_Materials,Nevada,Pyro_Hydro_Hybrid,15000,100000,"Lithium,Nickel,Cobalt,Copper",Expanding
Li_Cycle_Rochester,Li_Cycle,New_York,Hydrometallurgy,10000,65000,"Lithium,Nickel,Cobalt,Graphite",Construction_Resumed
Li_Cycle_Kingston,Li_Cycle,Ontario_Canada,Hydrometallurgy,5000,10000,"Lithium,Nickel,Cobalt",Operating
Ascend_Elements,Ascend_Elements,Georgia,Hydro_to_Cathode,12000,30000,Direct_Cathode_Precursors,Operating
Cirba_Solutions,Cirba_Solutions,Ohio,Hydrometallurgy,5000,15000,Black_Mass_Processing,Operating
American_Battery_Tech,American_Battery_Technology,Nevada,Lithium_Extraction,5000,20000,Lithium_Primary,Pilot

Supply_Chain_Vulnerability_Assessment,Material,2024_China_Dependency_Pct,2030_Projected_China_Dependency_Pct,Primary_Vulnerability,Secondary_Vulnerability,Mitigation_Status,Overall_Risk_2024,Overall_Risk_2030
Lithium,60,35,China_Refining_Dominance,Chile_Political_Risk,Domestic_Refining_Expansion,HIGH,MEDIUM
Cobalt,65,20,China_Refining_65pct,DRC_Political_Instability_70pct,Recycling_50pct_by_2030,CRITICAL,HIGH
Nickel,45,20,China_Sulfate_Processing,Indonesia_Low_Grade_Dependence,Canadian_Partnership_Strong,MEDIUM_HIGH,MEDIUM_LOW
Graphite,95,50,China_Processing_Monopoly,No_Domestic_Production,Limited_Progress_Weak,CATASTROPHIC,HIGH

Material_Demand_Projections,Material,2024_US_Demand_Tonnes,2027_US_Demand_Tonnes,2030_US_Demand_Tonnes,2024_Domestic_Production,2030_Domestic_Production,2030_Import_Dependency_Pct
Lithium_LCE,Lithium,68000,250000,500000,5000,143500,70_to_75
Cobalt,Cobalt,12500,22000,35000,0,8000,75_to_80
Nickel_Battery_Grade,Nickel,75000,150000,250000,5000,120000,50_to_55
Graphite_Anode,Graphite,95000,250000,450000,500,100000,75_to_80

FEOC_Compliance_Timeline,Year,Restriction_Type,Materials_Affected,Estimated_Supply_Disruption_Pct,Compliance_Challenge,Industry_Response
2024,Cathode_Active_Materials_FEOC_Ban,Cathode_Precursors,40,Traceability_Through_Processing_Chain,Vertical_Integration_Partnerships
2025,Critical_Minerals_Extraction_Processing_FEOC_Ban,"Lithium,Cobalt,Nickel,Graphite",60,Proving_Origin_Through_7_to_10_Steps,Friend_Shoring_Agreements
2026,Expanded_Enforcement_Precursor_Scrutiny,All_Battery_Components,65,Mixed_Feedstock_Tracing,Blockchain_Provenance_Systems
2027_Plus,Full_Component_FEOC_Exclusion,Anodes_Cathodes_Electrolytes,70,Chinese_Shell_Companies,Allied_Supply_Chain_Only

Geopolitical_Risk_Scenarios,Scenario_Name,Probability_Pct,Trigger_Event,China_Export_Reduction_Pct,US_Battery_Production_Impact_Pct,Time_to_Recover_Months,Mitigation_Effectiveness
Limited_Graphite_Permits,40,Taiwan_Tensions_Moderate,20,15_to_20,6_to_12,LOW
Moderate_Rare_Earth_Playbook,25,Tech_Export_Retaliation,50,40_to_50,18_to_24,MEDIUM
Severe_Full_Embargo,10,Taiwan_Strait_Conflict,90,70_to_80,36_to_60,LOW
DRC_Cobalt_Disruption,25,Katanga_Political_Instability,30_to_50,20_initially,12_to_18,MEDIUM_HIGH
IRA_FEOC_Enforcement_Shock,60,2025_Treasury_Audit,0,30_slowdown,12_to_24,MEDIUM
US_Canada_Australia_Alliance,70,Trilateral_Minerals_Agreement,0,Positive_35pct_China_reduction,24_to_36,HIGH
